	Item	Vendor	Price	Date	Notes
0	Parking	Food Basics	0.5946261213371606	12	
1	Education	Loblaws	37.82748083845468	18	
2	Restaurant	Petro	35.00314029146799	3	
3	Unknown	Walmart	17.446803914432945	21	
4	Unknown	Freshco	9.140637024641203	27	Tax painting other mouth.
5	Hobbies	Daily Bread	7.534141092649729	20	
6	Organization	Ikea	14.291770732161506	26	Under threat action career.
7	Fashion	Sport Check	37.44145086817675	25	Exist recently strategy.
8	Unknown	Amazon	26.52128820444615	2	
9	Organization	Food Basics	37.62047652906282	3	Card mean rather fact spring.
10	Student Loans	Loblaws	1.8954277598670055	14	Address pass others side sell.
11	Parking	NSLSC	10.306612371562625	1	
12	Gasoline	Dollar Tree	39.88097280345251	6	
13	Gasoline	CanadaHelps	38.74892194538744	17	Each method other economy.
14	Career	Presto	32.46324533618176	22	Girl will probably.
15	Entertainment	Dollar Tree	25.902913736793188	20	
16	Fashion	Sick Kids foundation	14.456471391809549	17	
17	Public Transit	Tahinis	5.110315008087509	22	
18	Restaurant	Petro	19.910979481498366	6	
19	Gift	Presto	8.316514946205217	17	Six that forget draw.
20	Fashion	Chatime	18.02304896907483	30	
21	Vacation	Ticketmaster	20.043817513531685	23	
22	Charity	NSLSC	3.7135128026156794	22	
23	Public Transit	Cinnabon	35.48222822769653	17	
24	Bills	Tim Hortons	8.695665457494517	18	
25	Gasoline	Bar Burrito	20.67526687188809	13	Necessary two all town.
26	Parking	Sick Kids foundation	31.698598886885	4	
27	Pets	Chick-Fil-A	23.75241017081467	16	
28	Career	Amazon	31.56142752084755	28	Executive buy important either ready.
29	Hobbies	Ticketmaster	16.80598665699432	1	
30	Vacation	The Alley	20.47492920343505	19	
31	Groceries	CNIB	15.340181523945153	26	Often building address indeed sense go.
32	Gasoline	ABC PLANE FEE (SCAM)	20.352998038038894	18	
33	Restaurant	NSLSC	13.94117980289134	10	
34	Student Loans	NSLSC	18.749019217855185	22	Line discuss natural beat material physical.
35	Career	Dollarama	15.610640131969431	24	
36	Student Loans	Rens Pets	35.74358212049037	13	
37	Parking	Ikea	34.90099125664459	24	
38	Gift	Sick Kids foundation	34.34805699973318	25	
39	Education	Freshco	26.302114980953583	7	
