Item	Vendor	Price	Date	Notes
Gasoline	Petro	37.51627646111362	7	
Parking	Canadian Tire	7.941113148512091	28	Parent real old government.
Bills	Daily Bread	30.8894988201595	11	
Hobbies	Freshco	35.31361268049132	26	
Charity	H&M	30.906105095083586	20	
Organization	Paramount Fine Foods	23.376740955903628	9	
Public Transit	NSLSC	30.06478250535864	10	
Hobbies	CanadaHelps	17.84045454454529	8	
Student Loans	Presto	8.826682613702843	22	Bar respond address.
Entertainment	Shoppers Drug Mart	39.63265818093615	4	Military food sit agency.
Gift	TPL Foundation	26.390554011038148	25	
Education	CNIB	30.792592614617092	26	Others business house.
Banking fees	Scotiabank	34.54465299259312	21	
Public Transit	Loblaws	37.76860140679215	7	
Parking	ABC PLANE FEE (SCAM)	17.79559352104669	20	
Restaurant	Amazon	35.14812210668685	23	Address structure add thus whether.
Pets	Shoppers Drug Mart	30.497899118586727	10	
Charity	Petro	29.742912223905623	30	Voice business note.
Banking fees	Sick Kids foundation	13.354205708744725	9	
Groceries	Sobeys	20.79845081212154	25	
Gift	Freshco	1.6466231736872405	3	Seem property forget make believe.
Charity	Walmart	16.00906227124211	3	
Student Loans	Chick-Fil-A	17.534667396451663	14	
Groceries	Chatime	24.25277165294185	3	
Gift	Thai Express	30.291093341309146	10	
Hobbies	Rens Pets	1.447282818387663	7	
Student Loans	Dollar Tree	37.76245424210351	11	Style weight music reduce.
Gasoline	Toronto Humane	25.31622265300358	30	
Organization	CanadaHelps	28.13735790477667	28	
Pets	Amazon	6.128018083275353	26	
Charity	Ticketmaster	31.310194324948736	23	
Charity	Amazon	7.910245798199518	20	Under break check.
Vacation	City of Toronto	29.55456191835069	24	
Restaurant	Ticketmaster	30.9946897276415	26	
Hobbies	The Alley	2.248111108384716	16	
Public Transit	Tim Hortons	6.657070018246807	12	
Parking	Real Canadian Super Store (RCSS)	16.79588581638893	15	
Restaurant	Chick-Fil-A	39.262621258242014	7	
Hobbies	Tim Hortons	9.86409989440492	16	
Groceries	ABC PLANE FEE (SCAM)	36.853110311843196	15	Federal join chance safe.
Parking	Ticketmaster	25.57289593698796	7	Herself rise citizen arrive effect.
Student Loans	Rex Beauty Inc (BSW)	22.695887052609763	7	
Parking	Thai Express	12.00890262512682	17	Body senior develop even.
